Natural Language Question,Category,Sucessfully Executed,Accepted,Discarded,Bing,Google ,KG4ASTRA,,,,,,,,,,,,,,,,,,,
What are the names of all Air-Air missiles?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
what are the names of all Surface-Air and Surface-Surface missiles?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
what are the names of all Surface-Air and Defence missiles?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which Submarine missiles have been manufactured in India?,Missile Type,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
which Air-Air missiles have been manufactured in India?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
what are the name of all Surface-Surface missiles?,Missile Type,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
what are the name of all  Anti-Tank missiles?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
which missiles are used in Indian Navy?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Which missiles have range above 3000km?,Range Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
what is the medium range of Indian missiles,Range Type,yes,yes,,1,0,1,,,,,,,,,,,,,,,,,,,
what is the long range of Indian missiles,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
what is the short range of Indian missiles,Range Type,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
which Air-Air missiles are short range indian missiles?,Range Type,no,no,yes,0,0,0,,,,,,,,,,,,,,,,,,,
Which missiles are manufactured by both DRDO and BEL ?,Missile Type,yes,yes,,1,0,1,,,,,,,,,,,,,,,,,,,
Which missiles are manufactured by  indian manufacturers?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which indian manufacturer manufactures Cruise Missiles?,Manufacturer Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
which foreign manufacturer manufactures Indian Cruise Missiles?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which foreign manufacturer manufactures Indian Missiles?,Manufacturer Based,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
Which launch platforms uses missiles manufactured by DRDO?,Launch Platform Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
In which launch platforms Akash missile is used?,Launch Platform Based,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
Is T-72 an Indian aircraft ?,Launch Platform Based,no,no,yes,1,1,0,,,,,,,,,,,,,,,,,,,
which launch platforms uses missiles which are manufactured in India?,Launch Platform Based,yes,yes,,1,0,1,,,,,,,,,,,,,,,,,,,
which indian launch platform uses missiles manufactured outside India?,Launch Platform Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which Anti-Tank missile are used by Indian Launch platforms?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
which Indian origin missile are used by T-72?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which indian origin missile are used by HAL aircrafts?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
which Foreign origin missile are used by Indian Air Force?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which Foreign origin missile are used in indian crafts?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which Manufacture manufactures both Air-Air and Surface-Surface missile?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
what are the missiles manufactured by both Larsen & Toubro Limited and Hindustan Aeronautics Limited?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are manufactured by Indian Manufactures?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are manufactured by foreign Manufactures?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Rafale uses missiles of which Manufacturer?,Manufacturer Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Short range missiles manufactured by both Indian and Foreign  Manufacturer?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Indian Manufacturer which builds air-air missiles?,Manufacturer Based,yes,yes,,1,0,1,,,,,,,,,,,,,,,,,,,
Indian Manufacturer which builds Submarine missiles?,Manufacturer Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
DRDO Manufactures which Submarine missiles?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which Missiles are manufactured by DRDO and any other indian origin manufacturer?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Submarine Missiles are used in which launch platforms?,Launch Platform Based,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
Defence Missiles are used in which launch platforms?,Launch Platform Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Indian Missiles manufactured by India are used in which launch platforms?,Launch Platform Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Missiles which are used  in Indian Navy crafts?,Missile Type,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
Missiles which are used  in Indian Aircrafts?,Missile Type,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
Which Manufacture manufactures both Defense and Cruise missile?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which Manufacture manufactures Submarine Missiles?,Manufacturer Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Which Manufacture manufactures Missiles for navy purpose?,Manufacturer Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Which Manufacture manufactures anti tank Missiles ?,Manufacturer Based,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
Which Manufacture manufactures  Ballastic missiles?,Manufacturer Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Astra missile is used in which launch platform?,Launch Platform Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
which launch platform uses Astra missile?,Launch Platform Based,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
which crafts uses missiles manufactured by DRDO ?,Launch Platform Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which ship uses missiles manufactured by DRDO ?,Launch Platform Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Rafale uses  which missile and who is the manufacturer of the missile?,Missile Type and  Manufacturer Based,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
what is the location of the launch platform which uses Akash missile?,Launch Platform Based,no,no,yes,0,1,0,,,,,,,,,,,,,,,,,,,
where is the origin of the launch platform which uses Akash missile?,Launch Platform Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
where is the origin of the launch platform which uses short range Indian missile?,Launch Platform Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
launch platform which uses short range Indian missile manufactured by DRDO?,Launch Platform Based,yes,yes,,1,0,1,,,,,,,,,,,,,,,,,,,
Indian Air force crafts uses which missiles manufactured by  both DRDO and BEL?,Missile Type,no,no,yes,0,1,0,,,,,,,,,,,,,,,,,,,
Which missile have an operating range between 100 and 200 km?,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which missile have an operating range above100 km and used as anti-tank missiles?,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which indian missile have the highest operating range ?,Missile Type and Range Type,yes,yes,,1,0,1,,,,,,,,,,,,,,,,,,,
Which indian missile have the least operating range ?,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which indian missile is a short range missile  and  is manufactured by Indian Manufacturer?,"Missile Type, Range Type and Manufacturer Based",yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Which indian missile is a short range missile  and  is manufactured by BEL?,"Missile Type, Range Type and Manufacturer Based",yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which missiles have a long operating range and is used by the Indian Navy?,Missile Type and Range Type,no,no,yes,0,1,1,,,,,,,,,,,,,,,,,,,
What is the operating range of the missiles used by the Indian Navy?,Range Type,no,no,yes,0,0,1,,,,,,,,,,,,,,,,,,,
What is the operating range of the missiles used in HAL crafts?,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
What is the operating range of the missiles used in Rafale?,Range Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Akash is manufactured by which manufacturer and what is the location of the manufacturer?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which missiles are manufactured by both Indian and foreign manufacturer?,Missile Type ,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which manufacturer manufactures missile used in both Arihant and Mig17?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which manufacturer manufactures missile used in both Mig19 and Mig17?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which manufacturer manufactures missile used in  LBML?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which missiles are manufactured in both India and Russia?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which missiles are Indian origin?,Missile Type,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
Which missiles are produced outside India?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Which indian missiles have a foreign origin?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which indian missiles having a foreign origin are used in MIG19?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which missiles are used in HAL Light Combat Helicopter?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Which missiles are used in TEL?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which missiles are used in Rafale?,Missile Type,yes,yes,,1,0,1,,,,,,,,,,,,,,,,,,,
Which missiles are used in Rafale and Mig19?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which missiles are used in Mig19?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
Which missiles are used in Mig17?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
